"","mean_area","easting","northing"
"1",0.222814145417687,-0.00197748031277309,0.000460775941772659
"2",0.47349648115999,-0.00255656815474317,0.000427022490675712
"3",0.984110050169786,-0.00378090237360261,0.000428628643753676
"4",1.59958033468634,2.93181889849656e-05,0.001568879130072
"5",2.1400888211467,0.00455632767966548,-0.00108872988904169
"6",2.47441795277279,0.000824085689898946,-0.00431834929308383
"7",2.47197440178789,-0.011216928294716,-0.00383082256966875
"8",2.0628111394228,-0.01684995411732,-0.00546867799339585
"9",1.34880074198772,-0.00494299008254746,-0.00467926612868734
"10",0.52408308418176,0.00909227001637348,-0.00138237395407893
"11",-0.225877693598178,0.00907505767620871,-0.00228293070896177
"12",-0.703874952557851,-0.0110160265397594,-0.00281668774138047
"13",-0.825306009068679,-0.0146719061442645,-0.00212700630181176
"14",-0.613635631982123,-0.00394905816977029,-0.00283957725470724
"15",-0.157708515498147,0.0187401875340873,-0.00183568823553585
"16",0.42533265850487,0.0123830456267247,-0.00104462523738555
"17",1.02904262085022,0.00411638813386225,-0.00113622017014396
"18",1.57692809983872,-0.00780454000614524,-0.00136707047929588
"19",1.99885013724836,0.00573158119499255,-0.00196061052544053
"20",2.27591116348345,0.00280284100348595,0.000227906096901425
"21",2.38153260872858,0.00564347847063484,0.00195766032063411
"22",2.24402679253996,-0.00711979341655469,0.00220419944770325
"23",1.8401324800911,-0.0010598943925878,0.00406146995958758
"24",1.24587145723475,-0.0131563534572919,0.00302725426811875
"25",0.648388700284228,-0.0118585146262461,0.00108645995519537
"26",0.335884808948456,-0.0156857696598039,0.00318216533130812
"27",0.51790644281584,0.00399294559909003,0.00281718493932049
"28",1.18905990259817,0.00374787974837309,0.00114746203296011
"29",2.07361010408969,0.00312931560991641,0.000857579127475581
"30",2.73650199623581,-0.00655928964005454,-0.00144656435926705
"31",2.78965585171036,0.0059993655399472,-0.00275603593750178
"32",2.09614844353145,0.0118675421367479,-0.00115450614287891
"33",0.856814385385936,0.0156063937149133,0.000797356991334187
"34",-0.48249440298513,0.00823720856950034,0.00272536280451948
"35",-1.47342133040106,0.00996515291645749,0.00243156880640228
"36",-1.87406860224818,0.00815658818339958,0.00120701454221359
"37",-1.70676304464064,0.00423611004620733,0.00126948444794261
"38",-1.17618147184776,0.0013955760808175,-0.00031855860967016
"39",-0.55154904605387,0.00702959157380355,0.000113121884464242
"40",-0.0412394668226181,0.0124382180062245,0.00229847156856279
"41",0.256993933567416,0.00548131805116829,0.000148759598617567
"42",0.289055497081395,0.000839841015972058,-0.000444016158666264
"43",0.00407702297869087,0.00237661752538218,0.00148384991608655
"44",-0.593731993871759,0.0141865620882597,-8.12088472806648e-05
"45",-1.40866809452988,0.0109650924983117,0.00104273363128806
"46",-2.21141474632288,0.0116909873403494,0.00272051686445301
"47",-2.67395844191956,0.0079889063815037,0.000475271098461357
"48",-2.49486045296586,0.0147918796178324,-0.000416185736147071
"49",-1.62966835913476,-0.00182525738082677,-0.000308702128632126
"50",-0.316771270623807,-0.00623235302421842,0.000285095380726738
"51",0.92528983800846,-0.00966557354593482,0.000599415008165637
"52",1.49878897790071,0.0117681375282451,-0.00105330547185077
"53",1.07757772038176,-0.00749361814732882,-0.000930956555642771
"54",-0.18528899420288,-0.0294501544202531,-0.00363672859989797
"55",-1.69087385995551,-0.0551546504739344,-0.00642538630615804
"56",-2.71198364107148,-0.0171140973562467,-0.000730684527362897
"57",-2.86595881988737,-0.000240322892348449,0.00100081334163214
"58",-2.29091407475495,0.00152696518309318,0.00146716544888261
"59",-1.52869127453093,-0.0453479364408869,0.00683390088568446
"60",-1.20113544523355,-0.0330114683159366,0.00424764274281339
"61",-1.58201307310683,-0.00814002567295272,0.000793492480045725
"62",-2.44736794476425,0.0352878184487752,0.00253036243164594
"63",-3.25120094035189,0.00871966773525371,0.000408168374700483
"64",-3.49813461541728,-0.00224955825899696,0.00011086586526351
"65",-3.04875703800848,-0.0154138716265838,0.0016907821870026
"66",-2.15793898104917,0.019150921315087,0.00153195342902754
"67",-1.26994993692949,0.0147666939456454,0.00163378855763012
"68",-0.719339848829569,0.020005215405038,0.000371789828320841
"69",-0.514712319487216,-0.00398109403873109,0.00156538655853865
"70",-0.350637306846052,0.00460402950757885,0.00184852250080796
"71",0.106535922195656,-0.0103983691517976,-0.000860842520956362
"72",0.979348453755641,0.00302287291648555,0.00118495872757088
"73",2.09212651743473,-0.0027746543698641,3.73413283934064e-05
"74",3.03670311147376,0.0127996772011879,-0.00427532908552759
"75",3.45247957133113,-0.00554492797068208,-0.00214069960607522
"76",3.22132473109719,-0.00356488645001349,-0.00344404597614561
"77",2.49207342391674,-0.0112149771227367,-0.00540349825253669
"78",1.53058613500305,0.0116493127413105,-0.00166500108343736
"79",0.544654063803313,0.00815601321364489,-0.00113419401526434
"80",-0.417001140159157,0.0103187603763493,-0.000775768568166735
"81",-1.38093197618562,-0.00761422113444299,0.00107114086013472
"82",-2.29579315396572,-0.0011978275560974,0.000680159850190619
"83",-2.91838652005151,-0.00386445629198081,0.000592052666895121
"84",-2.9152850690653,0.00615330069964067,-0.000852353157680548
"85",-2.12283950748194,-0.00153909813201915,-0.00113652256611506
"86",-0.758445986149922,-0.00204450744781113,-0.000393856930523352
"87",0.632185282581339,-0.0106256333933975,-0.00200642721351884
"88",1.47612317923765,-0.00399014759140106,2.29824006414347e-05
"89",1.4468415205695,0.00105300323125405,0.00184024032045548
"90",0.704699287463933,0.00752657707152337,0.000669473699336747
"91",-0.222111540007014,0.00569827278684365,0.00198274041853203
"92",-0.860189827997154,0.00534194497735089,0.00185840894576192
"93",-0.944842723634178,0.011502345448174,0.000311386862798136
"94",-0.500402019915591,0.0170302456887458,0.00133881987058938
"95",0.296651959134964,0.0168120950289901,0.00100432783013232
"96",0.98733204780307,0.00526099353985612,0.000471019322910589
